Kansas,Connecticut,Maryland,California,Wichita St,Miami,Iowa,Villanova,Oregon,Cincinnati,Yale,Duke,Texas,Texas A&M,VA Commonwealth,CS Bakersfield,North Carolina,Providence,Indiana,Stony Brook,Notre Dame,SF Austin,Wisconsin,Weber St,Virginia,Texas Tech,Ark Little Rock,Iowa St,Gonzaga,Utah,Dayton,Michigan St
Kansas,California,Wichita St,Villanova,Oregon,Duke,Texas A&M,CS Bakersfield,North Carolina,Stony Brook,SF Austin,Weber St,Virginia,Ark Little Rock,Gonzaga,Michigan St
Kansas,Wichita St,Oregon,CS Bakersfield,Stony Brook,SF Austin,Virginia,Michigan St
Wichita St,CS Bakersfield,SF Austin,Michigan St
Wichita St,SF Austin
SF Austin
